;; okuri-ari entries.
;; okuri-nasi entries.
^( /⁽/
mathbfsfzeta /𝝵/
mathbfsigma /𝛔/
mathbfskappa /𝛞/
mathbfsphi /𝛟/
mathbfspi /𝛡/
mathbfsrho /𝛠/
mathbfstheta /𝛝/
mathbft /𝐭/
mathbftau /𝛕/
mathbftheta /𝛉/
mathbfu /𝐮/
mathbfupsilon /𝛖/
mathbfv /𝐯/
mathbfw /𝐰/
mathbfx /𝐱/
mathbfxi /𝛏/
mathbfy /𝐲/
mathbfz /𝐳/
mathbfzeta /𝛇/
mathchi /𝜒/
mathdell /𝜕/
mathdelta /𝛿/
mathepsilon /𝜀/
matheta /𝜂/
mathfrakA /𝔄/
mathfrakB /𝔅/
mathfrakC /ℭ/𝔆/
mathfrakD /𝔇/
mathfrakE /𝔈/
mathfrakF /𝔉/
mathfrakG /𝔊/
mathfrakH /ℌ/𝔋/
mathfrakI /ℑ/𝔌/
mathfrakJ /𝔍/
mathfrakK /𝔎/
mathfrakL /𝔏/
mathfrakM /𝔐/
mathfrakN /𝔑/
mathfrakO /𝔒/
mathfrakP /𝔓/
mathfrakQ /𝔔/
mathfrakR /ℜ/𝔕/
mathfrakS /𝔖/
mathfrakT /𝔗/
mathfrakU /𝔘/
mathfrakV /𝔙/
mathfrakW /𝔚/
mathfrakX /𝔛/
mathfrakY /𝔜/
mathfrakZ /ℨ/𝔝/
mathfraka /𝔞/
mathfrakb /𝔟/
mathfrakc /𝔠/
mathfrakd /𝔡/
mathfrake /𝔢/
mathfrakf /𝔣/
mathfrakg /𝔤/
mathfrakh /𝔥/
mathfraki /𝔦/
mathfrakj /𝔧/
mathfrakk /𝔨/
mathfrakl /𝔩/
mathfrakm /𝔪/
mathfrakn /𝔫/
mathfrako /𝔬/
mathfrakp /𝔭/
mathfrakq /𝔮/
mathfrakr /𝔯/
mathfraks /𝔰/
mathfrakt /𝔱/
mathfraku /𝔲/
mathfrakv /𝔳/
mathfrakw /𝔴/
mathfrakx /𝔵/
mathfraky /𝔶/
mathfrakz /𝔷/
mathfsigma /𝜍/
mathgamma /𝛾/
mathidi /𝚤/
mathidj /𝚥/
mathiota /𝜄/
mathitA /𝐴/
mathitB /𝐵/
mathitC /𝐶/
mathitD /𝐷/
mathitE /𝐸/
mathitF /𝐹/
mathitG /𝐺/
mathitH /𝐻/
mathitI /𝐼/
mathitJ /𝐽/
mathitK /𝐾/
mathitL /𝐿/
mathitM /𝑀/
mathitN /𝑁/
mathitO /𝑂/
mathitP /𝑃/
mathitQ /𝑄/
mathitR /𝑅/
mathitS /𝑆/
mathitT /𝑇/
mathitU /𝑈/
mathitV /𝑉/
mathitW /𝑊/
mathitX /𝑋/
mathitY /𝑌/
mathitZ /𝑍/
mathita /𝑎/
mathitb /𝑏/
mathitc /𝑐/
mathitd /𝑑/
mathite /𝑒/
mathitf /𝑓/
mathitg /𝑔/
mathith /ℎ/𝑕/
mathiti /𝑖/
mathitj /𝑗/
mathitk /𝑘/
mathitl /𝑙/
mathitm /𝑚/
mathitn /𝑛/
mathito /𝑜/
mathitp /𝑝/
mathitq /𝑞/
mathitr /𝑟/
mathits /𝑠/
mathitt /𝑡/
mathitu /𝑢/
mathitv /𝑣/
mathitw /𝑤/
mathitx /𝑥/
mathity /𝑦/
mathitz /𝑧/
mathkappa /𝜅/
mathlambda /𝜆/
mathmono0 /𝟶/
mathmono1 /𝟷/
mathmono2 /𝟸/
mathmono3 /𝟹/
mathmono4 /𝟺/
mathmono5 /𝟻/
mathmono6 /𝟼/
mathmono7 /𝟽/
mathmono8 /𝟾/
mathmono9 /𝟿/
mathmonoA /𝙰/
mathmonoB /𝙱/
mathmonoC /𝙲/
mathmonoD /𝙳/
mathmonoE /𝙴/
mathmonoF /𝙵/
mathmonoG /𝙶/
mathmonoH /𝙷/
mathmonoI /𝙸/
mathmonoJ /𝙹/
mathmonoK /𝙺/
mathmonoL /𝙻/
mathmonoM /𝙼/
mathmonoN /𝙽/
mathmonoO /𝙾/
mathmonoP /𝙿/
mathmonoQ /𝚀/
mathmonoR /𝚁/
mathmonoS /𝚂/
mathmonoT /𝚃/
mathmonoU /𝚄/
mathmonoV /𝚅/
mathmonoW /𝚆/
mathmonoX /𝚇/
mathmonoY /𝚈/
mathmonoZ /𝚉/
mathmonoa /𝚊/
mathmonob /𝚋/
mathmonoc /𝚌/
mathmonod /𝚍/
mathmonoe /𝚎/
mathmonof /𝚏/
mathmonog /𝚐/
mathmonoh /𝚑/
mathmonoi /𝚒/
mathmonoj /𝚓/
mathmonok /𝚔/
mathmonol /𝚕/
mathmonom /𝚖/
mathmonon /𝚗/
mathmonoo /𝚘/
mathmonop /𝚙/
mathmonoq /𝚚/
mathmonor /𝚛/
mathmonos /𝚜/
mathmonot /𝚝/
mathmonou /𝚞/
mathmonov /𝚟/
mathmonow /𝚠/
mathmonox /𝚡/
mathmonoy /𝚢/
mathmonoz /𝚣/
mathmu /𝜇/
mathnu /𝜈/
mathomega /𝜔/
mathomicron /𝜊/
mathphi /𝜑/
mathpi /𝜋/
mathpsi /𝜓/
mathrho /𝜌/
mathsTheta /𝛳/
mathscrA /𝒜/
mathscrB /ℬ/𝒝/
mathscrC /𝒞/
mathscrD /𝒟/
mathscrE /ℰ/𝒠/
mathscrF /ℱ/𝒡/
mathscrG /𝒢/
mathscrH /ℋ/𝒣/
mathscrI /ℐ/𝒤/
mathscrJ /𝒥/
mathscrK /𝒦/
mathscrL /ℒ/𝒧/
mathscrM /ℳ/𝒨/
mathscrN /𝒩/
mathscrO /𝒪/
mathscrP /𝒫/
mathscrQ /𝒬/
mathscrR /ℛ/𝒭/
mathscrS /𝒮/
mathscrT /𝒯/
mathscrU /𝒰/
mathscrV /𝒱/
mathscrW /𝒲/
mathscrX /𝒳/
mathscrY /𝒴/
mathscrZ /𝒵/
mathscra /𝒶/
mathscrb /𝒷/
mathscrc /𝒸/
mathscrd /𝒹/
mathscre /ℯ/𝒺/
mathscrf /𝒻/
mathscrg /ℊ/𝒼/
mathscrh /𝒽/
mathscri /𝒾/
mathscrj /𝒿/
mathscrk /𝓀/
mathscrl /𝓁/ℓ/
mathscrm /𝓂/
mathscrn /𝓃/
mathscro /ℴ/𝓄/
mathscrp /𝓅/
mathscrq /𝓆/
mathscrr /𝓇/
mathscrs /𝓈/
mathscrt /𝓉/
mathscru /𝓊/
mathscrv /𝓋/
mathscrw /𝓌/
mathscrx /𝓍/
mathscry /𝓎/
mathscrz /𝓏/
mathsepsilon /𝜖/
mathsf0 /𝟢/
mathsf1 /𝟣/
mathsf2 /𝟤/
mathsf3 /𝟥/
mathsf4 /𝟦/
mathsf5 /𝟧/
mathsf6 /𝟨/
mathsf7 /𝟩/
mathsf8 /𝟪/
mathsf9 /𝟫/
mathsfA /𝖠/
mathsfB /𝖡/
mathsfC /𝖢/
mathsfD /𝖣/
mathsfE /𝖤/
mathsfF /𝖥/
mathsfG /𝖦/
mathsfH /𝖧/
mathsfI /𝖨/
mathsfJ /𝖩/
mathsfK /𝖪/
mathsfL /𝖫/
mathsfM /𝖬/
mathsfN /𝖭/
mathsfO /𝖮/
mathsfP /𝖯/
mathsfQ /𝖰/
mathsfR /𝖱/
mathsfS /𝖲/
mathsfT /𝖳/
mathsfU /𝖴/
mathsfV /𝖵/
mathsfW /𝖶/
mathsfX /𝖷/
mathsfY /𝖸/
mathsfZ /𝖹/
mathsfa /𝖺/
mathsfb /𝖻/
mathsfc /𝖼/
mathsfd /𝖽/
mathsfe /𝖾/
mathsff /𝖿/
mathsfg /𝗀/
mathsfh /𝗁/
mathsfi /𝗂/
mathsfitA /𝘈/
mathsfitB /𝘉/
mathsfitC /𝘊/
mathsfitD /𝘋/
mathsfitE /𝘌/
mathsfitF /𝘍/
mathsfitG /𝘎/
mathsfitH /𝘏/
mathsfitI /𝘐/
mathsfitJ /𝘑/
mathsfitK /𝘒/
mathsfitL /𝘓/
mathsfitM /𝘔/
mathsfitN /𝘕/
mathsfitO /𝘖/
mathsfitP /𝘗/
mathsfitQ /𝘘/
mathsfitR /𝘙/
mathsfitS /𝘚/
mathsfitT /𝘛/
mathsfitU /𝘜/
mathsfitV /𝘝/
mathsfitW /𝘞/
mathsfitX /𝘟/
mathsfitY /𝘠/
mathsfitZ /𝘡/
mathsfita /𝘢/
mathsfitb /𝘣/
mathsfitc /𝘤/
mathsfitd /𝘥/
mathsfite /𝘦/
mathsfitf /𝘧/
mathsfitg /𝘨/
mathsfith /𝘩/
mathsfiti /𝘪/
mathsfitj /𝘫/
mathsfitk /𝘬/
mathsfitl /𝘭/
mathsfitm /𝘮/
mathsfitn /𝘯/
mathsfito /𝘰/
mathsfitp /𝘱/
mathsfitq /𝘲/
mathsfitr /𝘳/
mathsfits /𝘴/
mathsfitt /𝘵/
mathsfitu /𝘶/
mathsfitv /𝘷/
mathsfitw /𝘸/
mathsfitx /𝘹/
mathsfity /𝘺/
mathsfitz /𝘻/
mathsfj /𝗃/
mathsfk /𝗄/
